Match Date,Kick Off Time,Home Team,HGoals,Away Team,AGoals
2018-03-01,21:00:00.000,Las Palmas,1,Barcelona,1
2017-08-20,20:15:00.000,Barcelona,2,Real Betis,0
2017-10-14,20:45:00.000,Atlético Madrid,1,Barcelona,1
2018-04-07,20:45:00.000,Barcelona,3,Leganés,1
2017-10-28,20:45:00.000,Athletic Bilbao,0,Barcelona,2
2017-12-02,13:00:00.000,Barcelona,2,Celta Vigo,2
2018-01-07,16:15:00.000,Barcelona,3,Levante,0
2017-11-18,16:15:00.000,Leganés,0,Barcelona,3
2018-02-17,16:15:00.000,Eibar,0,Barcelona,2
2017-12-10,20:45:00.000,Villarreal,0,Barcelona,2
2017-11-04,20:45:00.000,Barcelona,2,Sevilla,1
2017-10-21,20:45:00.000,Barcelona,2,Málaga,0
2018-04-29,20:45:00.000,Deportivo La Coruna,2,Barcelona,4
2018-02-24,20:45:00.000,Barcelona,6,Girona,1
2018-01-21,20:45:00.000,Real Betis,0,Barcelona,5
2017-12-23,13:00:00.000,Real Madrid,0,Barcelona,3
2018-05-20,20:45:00.000,Barcelona,1,Real Sociedad,0
2017-09-16,16:15:00.000,Getafe,1,Barcelona,2
2018-05-06,20:45:00.000,Barcelona,2,Real Madrid,2
2017-12-17,20:45:00.000,Barcelona,4,Deportivo La Coruna,0
2017-09-09,20:45:00.000,Barcelona,5,Espanyol,0
2018-01-28,20:45:00.000,Barcelona,2,Deportivo Alavés,1
2017-08-26,18:15:00.000,Deportivo Alavés,0,Barcelona,2
2018-04-17,21:00:00.000,Celta Vigo,2,Barcelona,2
2018-04-14,16:15:00.000,Barcelona,2,Valencia,1
2018-01-14,20:45:00.000,Real Sociedad,2,Barcelona,4
2018-05-09,20:00:00.000,Barcelona,5,Villarreal,1
2017-11-26,20:45:00.000,Valencia,1,Barcelona,1
2017-10-01,16:15:00.000,Barcelona,3,Las Palmas,0
2018-03-04,16:15:00.000,Barcelona,1,Atlético Madrid,0
2018-02-11,16:15:00.000,Barcelona,0,Getafe,0
2017-09-23,20:45:00.000,Girona,0,Barcelona,3
2017-09-19,22:00:00.000,Barcelona,6,Eibar,1
2018-02-04,16:15:00.000,Espanyol,1,Barcelona,1
2018-03-18,16:15:00.000,Barcelona,2,Athletic Bilbao,0
2018-03-31,20:45:00.000,Sevilla,2,Barcelona,2
2016-10-29,20:45:00.000,Barcelona,1,Granada,0
2016-09-10,20:30:00.000,Barcelona,1,Deportivo Alavés,2
2017-02-26,16:15:00.000,Atlético Madrid,1,Barcelona,2
2017-01-08,20:45:00.000,Villarreal,1,Barcelona,1
2017-05-21,20:00:00.000,Barcelona,4,Eibar,2
2016-12-03,16:15:00.000,Barcelona,1,Real Madrid,1
2017-04-08,20:45:00.000,Málaga,2,Barcelona,0
2017-05-14,20:00:00.000,Las Palmas,1,Barcelona,4
2017-04-15,20:45:00.000,Barcelona,3,Real Sociedad,2
